year,date,rainfall
1912,1900-07-22,0.0
1912,1900-07-23,0.0
1912,1900-07-24,0.0
1912,1900-07-25,0.0
1912,1900-07-26,0.0
1912,1900-07-27,0.0
1912,1900-07-28,5.1
1912,1900-07-29,0.0
1912,1900-07-30,4.1
1912,1900-07-31,1.8
1912,1900-08-01,0.0
1912,1900-08-02,1.8
1912,1900-08-03,0.0
1912,1900-08-04,0.0
1912,1900-08-05,0.0
1912,1900-08-06,0.0
1912,1900-08-07,0.0
1912,1900-08-08,0.0
1912,1900-08-09,0.0
1912,1900-08-10,0.0
1912,1900-08-11,0.0
1912,1900-08-12,2.3
1912,1900-08-13,0.0
1912,1900-08-14,12.7
1912,1900-08-15,3.0
1912,1900-08-16,0.0
1912,1900-08-17,0.0
1912,1900-08-18,0.0
1912,1900-08-19,0.0
1912,1900-08-20,0.0
1912,1900-08-21,0.0
1912,1900-08-22,0.0
1912,1900-08-23,0.0
1912,1900-08-24,0.0
1912,1900-08-25,0.0
1912,1900-08-26,0.0
1912,1900-08-27,0.0
1912,1900-08-28,2.5
1912,1900-08-29,1.0
1912,1900-08-30,0.0
1912,1900-08-31,0.0
1912,1900-09-01,0.0
1912,1900-09-02,0.0
1912,1900-09-03,0.0
1912,1900-09-04,0.0
1912,1900-09-05,0.0
1912,1900-09-06,0.0
1912,1900-09-07,0.0
1912,1900-09-08,0.0
1912,1900-09-09,0.0
1912,1900-09-10,0.0
1912,1900-09-11,0.0
1912,1900-09-12,0.0
1912,1900-09-13,0.0
1912,1900-09-14,0.0
1912,1900-09-15,0.0
1912,1900-09-16,0.0
1912,1900-09-17,0.0
1912,1900-09-18,0.0
1912,1900-09-19,0.0
1912,1900-09-20,0.0
1912,1900-09-21,0.0
1912,1900-09-22,0.0
1912,1900-09-23,0.0
1912,1900-09-24,0.0
1912,1900-09-25,0.0
1912,1900-09-26,0.0
1912,1900-09-27,0.0
1912,1900-09-28,0.0
1912,1900-09-29,0.0
1912,1900-09-30,0.0
1912,1900-10-01,0.0
1912,1900-10-02,0.0
1912,1900-10-03,0.0
1912,1900-10-04,0.0
1912,1900-10-05,0.0
1912,1900-10-06,0.0
1912,1900-10-07,0.0
1912,1900-10-08,0.0
1912,1900-10-09,0.0
1912,1900-10-10,0.0
1912,1900-10-11,0.0
1912,1900-10-12,0.0
1912,1900-10-13,0.0
1912,1900-10-14,0.0
1912,1900-10-15,8.9
1912,1900-10-16,0.0
1912,1900-10-17,0.0
1912,1900-10-18,0.0
1912,1900-10-19,0.0
1912,1900-10-20,0.0
1912,1900-10-21,5.8
1912,1900-10-22,0.0
1912,1900-10-23,19.6
1912,1900-10-24,21.3
1912,1900-10-25,0.8
1912,1900-10-26,4.1
1912,1900-10-27,6.6
1912,1900-10-28,28.4
1912,1900-10-29,0.0
1912,1900-10-30,0.0
1912,1900-10-31,0.0
1912,1900-11-01,0.0
1912,1900-11-02,0.0
1912,1900-11-03,0.0
1912,1900-11-04,0.0
1912,1900-11-05,0.0
1912,1900-11-06,3.6
1912,1900-11-07,0.0
1912,1900-11-08,0.0
1912,1900-11-09,8.1
1912,1900-11-10,0.0
1912,1900-11-11,0.0
1912,1900-11-12,0.0
1912,1900-11-13,0.0
1912,1900-11-14,0.0
1912,1900-11-15,0.0
1912,1900-11-16,0.0
1912,1900-11-17,0.0
1912,1900-11-18,0.0
1912,1900-11-19,0.0
1912,1900-11-20,0.0
1912,1900-11-21,0.0
1912,1900-11-22,2.3
1912,1900-11-23,0.0
1912,1900-11-24,15.2
1912,1900-11-25,0.0
1912,1900-11-26,0.8
1912,1900-11-27,26.9
1912,1900-11-28,0.0
1912,1900-11-29,1.0
1912,1900-11-30,0.0
1912,1900-12-01,0.0
1912,1900-12-02,0.0
1912,1900-12-03,0.0
1912,1900-12-04,0.0
1912,1900-12-05,0.0
1912,1900-12-06,0.0
1912,1900-12-07,0.0
1912,1900-12-08,17.8
1912,1900-12-09,0.0
1912,1900-12-10,0.0
1912,1900-12-11,9.9
1912,1900-12-12,0.0
1912,1900-12-13,0.0
1912,1900-12-14,0.0
1912,1900-12-15,13.7
1912,1900-12-16,0.0
1912,1900-12-17,0.0
1912,1900-12-18,0.0
1912,1900-12-19,0.0
1912,1900-12-20,6.4
1912,1900-12-21,9.7
1912,1900-12-22,0.0
1912,1900-12-23,0.0
1912,1900-12-24,0.0
1912,1900-12-25,2.8
1912,1900-12-26,0.0
1912,1900-12-27,0.0
1912,1900-12-28,0.0
1912,1900-12-29,1.5
1912,1900-12-30,0.0
1912,1900-12-31,1.5
1913,1901-01-01,69.1
1913,1901-01-02,2.8
1913,1901-01-03,0.0
1913,1901-01-04,0.0
1913,1901-01-05,31.8
1913,1901-01-06,0.0
1913,1901-01-07,1.0
1913,1901-01-08,52.1
1913,1901-01-09,0.0
1913,1901-01-10,0.0
1913,1901-01-11,3.8
1913,1901-01-12,2.0
1913,1901-01-13,1.5
1913,1901-01-14,1.0
1913,1901-01-15,26.7
1913,1901-01-16,104.9
1913,1901-01-17,53.1
1913,1901-01-18,19.1
1913,1901-01-19,4.8
1913,1901-01-20,0.0
1913,1901-01-21,65.5
1913,1901-01-22,9.7
1913,1901-01-23,0.0
1913,1901-01-24,0.0
1913,1901-01-25,0.0
1913,1901-01-26,0.0
1913,1901-01-27,0.0
1913,1901-01-28,0.0
1913,1901-01-29,0.0
1913,1901-01-30,0.0
1913,1901-01-31,12.7
1913,1901-02-01,3.0
1913,1901-02-02,37.1
1913,1901-02-03,0.8
1913,1901-02-04,3.6
1913,1901-02-05,1.0
1913,1901-02-06,0.0
1913,1901-02-07,10.7
1913,1901-02-08,3.0
1913,1901-02-09,0.0
1913,1901-02-10,14.2
1913,1901-02-11,14.0
1913,1901-02-12,2.3
1913,1901-02-13,0.0
1913,1901-02-14,0.0
1913,1901-02-15,0.0
1913,1901-02-16,0.0
1913,1901-02-17,0.0
1913,1901-02-18,2.5
1913,1901-02-19,1.3
1913,1901-02-20,0.0
1913,1901-02-21,0.0
1913,1901-02-22,2.0
1913,1901-02-23,0.8
1913,1901-02-24,0.0
1913,1901-02-25,3.6
1913,1901-02-26,2.3
1913,1901-02-27,2.0
1913,1901-02-28,0.0
1913,1901-03-01,2.0
1913,1901-03-02,0.0
1913,1901-03-03,3.0
1913,1901-03-04,0.0
1913,1901-03-05,0.0
1913,1901-03-06,0.0
1913,1901-03-07,0.0
1913,1901-03-08,3.6
1913,1901-03-09,0.0
1913,1901-03-10,5.6
1913,1901-03-11,0.0
1913,1901-03-12,0.0
1913,1901-03-13,6.4
1913,1901-03-14,0.0
1913,1901-03-15,2.5
1913,1901-03-16,0.0
1913,1901-03-17,0.0
1913,1901-03-18,0.0
1913,1901-03-19,5.1
1913,1901-03-20,0.0
1913,1901-03-21,0.0
1913,1901-03-22,1.3
1913,1901-03-23,2.5
1913,1901-03-24,0.5
1913,1901-03-25,1.0
1913,1901-03-26,0.0
1913,1901-03-27,0.0
1913,1901-03-28,1.3
1913,1901-03-29,0.0
1913,1901-03-30,0.0
1913,1901-03-31,0.0
1913,1901-04-01,0.0
1913,1901-04-02,0.0
1913,1901-04-03,11.7
1913,1901-04-04,1.8
1913,1901-04-05,12.7
1913,1901-04-06,30.5
1913,1901-04-07,0.0
1913,1901-04-08,0.0
1913,1901-04-09,0.0
1913,1901-04-10,8.9
1913,1901-04-11,71.6
1913,1901-04-12,22.4
1913,1901-04-13,0.0
1913,1901-04-14,0.0
1913,1901-04-15,0.0
1913,1901-04-16,0.0
1913,1901-04-17,0.0
1913,1901-04-18,0.0
1913,1901-04-19,0.0
1913,1901-04-20,0.0
1913,1901-04-21,0.0
1913,1901-04-22,0.0
1913,1901-04-23,0.0
1913,1901-04-24,0.0
1913,1901-04-25,0.0
1913,1901-04-26,0.0
1913,1901-04-27,0.0
1913,1901-04-28,0.0
1913,1901-04-29,3.6
1913,1901-04-30,0.0
1913,1901-05-01,1.5
1913,1901-05-02,0.0
1913,1901-05-03,0.0
1913,1901-05-04,0.0
1913,1901-05-05,1.3
1913,1901-05-06,0.0
1913,1901-05-07,0.0
1913,1901-05-08,0.0
1913,1901-05-09,0.0
1913,1901-05-10,0.0
1913,1901-05-11,1.8
1913,1901-05-12,2.5
1913,1901-05-13,8.6
1913,1901-05-14,2.0
1913,1901-05-15,0.0
1913,1901-05-16,0.0
1913,1901-05-17,0.0
1913,1901-05-18,1.3
1913,1901-05-19,0.0
1913,1901-05-20,0.0
1913,1901-05-21,0.0
1913,1901-05-22,15.7
1913,1901-05-23,6.4
1913,1901-05-24,5.8
1913,1901-05-25,50.8
1913,1901-05-26,0.0
1913,1901-05-27,0.0
1913,1901-05-28,0.0
1913,1901-05-29,2.5
1913,1901-05-30,3.0
1913,1901-05-31,5.6
1913,1901-06-01,0.0
1913,1901-06-02,0.0
1913,1901-06-03,0.0
1913,1901-06-04,0.0
1913,1901-06-05,0.0
1913,1901-06-06,0.0
1913,1901-06-07,2.0
1913,1901-06-08,0.0
1913,1901-06-09,0.0
1913,1901-06-10,0.0
1913,1901-06-11,0.0
1913,1901-06-12,3.0
1913,1901-06-13,0.0
1913,1901-06-14,0.0
1913,1901-06-15,0.0
1913,1901-06-16,0.0
1913,1901-06-17,0.0
1913,1901-06-18,0.0
1913,1901-06-19,0.0
1913,1901-06-20,2.5
1913,1901-06-21,9.4
1913,1901-06-22,76.2
1913,1901-06-23,0.0
1913,1901-06-24,1.3
1913,1901-06-25,2.0
1913,1901-06-26,5.8
1913,1901-06-27,0.0
1913,1901-06-28,0.0
1913,1901-06-29,18.8
1913,1901-06-30,12.7
1913,1900-07-01,0.0
1913,1900-07-02,0.0
1913,1900-07-03,0.0
1913,1900-07-04,2.5
1913,1900-07-05,0.0
1913,1900-07-06,0.0
1913,1900-07-07,0.0
1913,1900-07-08,0.0
1913,1900-07-09,0.0
1913,1900-07-10,0.0
1913,1900-07-11,0.0
1913,1900-07-12,0.0
1913,1900-07-13,11.7
1913,1900-07-14,0.0
1913,1900-07-15,0.0
1913,1900-07-16,0.0
1913,1900-07-17,0.0
1913,1900-07-18,0.0
1913,1900-07-19,0.0
1913,1900-07-20,0.0
1913,1900-07-21,0.0
1913,1900-07-22,0.0
1913,1900-07-23,0.0
1913,1900-07-24,0.0
1913,1900-07-25,0.0
1913,1900-07-26,5.3
1913,1900-07-27,45.0
1913,1900-07-28,19.3
1913,1900-07-29,0.0
1913,1900-07-30,0.0
1913,1900-07-31,0.0
1913,1900-08-01,0.0
1913,1900-08-02,0.0
1913,1900-08-03,0.0
1913,1900-08-04,0.0
1913,1900-08-05,0.0
1913,1900-08-06,0.0
1913,1900-08-07,0.0
1913,1900-08-08,0.0
1913,1900-08-09,2.0
1913,1900-08-10,0.0
1913,1900-08-11,0.0
1913,1900-08-12,0.0
1913,1900-08-13,0.0
1913,1900-08-14,0.0
1913,1900-08-15,0.0
1913,1900-08-16,0.0
1913,1900-08-17,0.0
1913,1900-08-18,0.0
1913,1900-08-19,0.0
1913,1900-08-20,0.0
1913,1900-08-21,0.0
1913,1900-08-22,0.0
1913,1900-08-23,0.0
1913,1900-08-24,0.0
1913,1900-08-25,0.0
1913,1900-08-26,0.0
1913,1900-08-27,0.0
1913,1900-08-28,0.0
1913,1900-08-29,0.0
1913,1900-08-30,0.0
1913,1900-08-31,0.0
1913,1900-09-01,0.0
1913,1900-09-02,0.8
1913,1900-09-03,1.5
1913,1900-09-04,0.5
1913,1900-09-05,0.8
1913,1900-09-06,0.0
1913,1900-09-07,0.0
1913,1900-09-08,0.0
1913,1900-09-09,0.0
1913,1900-09-10,0.0
1913,1900-09-11,0.0
1913,1900-09-12,0.0
1913,1900-09-13,0.0
1913,1900-09-14,0.0
1913,1900-09-15,0.0
1913,1900-09-16,0.0
1913,1900-09-17,0.0
1913,1900-09-18,25.1
1913,1900-09-19,0.0
1913,1900-09-20,17.8
1913,1900-09-21,11.2
1913,1900-09-22,0.0
1913,1900-09-23,0.0
1913,1900-09-24,0.0
1913,1900-09-25,0.0
1913,1900-09-26,0.0
1913,1900-09-27,24.9
1913,1900-09-28,48.3
1913,1900-09-29,0.0
1913,1900-09-30,0.0
1913,1900-10-01,0.0
1913,1900-10-02,0.0
1913,1900-10-03,0.0
1913,1900-10-04,0.0
1913,1900-10-05,0.0
1913,1900-10-06,0.0
1913,1900-10-07,0.0
1913,1900-10-08,0.0
1913,1900-10-09,0.0
1913,1900-10-10,0.0
1913,1900-10-11,0.0
1913,1900-10-12,0.0
1913,1900-10-13,0.3
1913,1900-10-14,0.0
1913,1900-10-15,0.0
1913,1900-10-16,0.0
1913,1900-10-17,0.0
1913,1900-10-18,0.0
1913,1900-10-19,0.0
1913,1900-10-20,3.6
1913,1900-10-21,0.0
1913,1900-10-22,0.0
1913,1900-10-23,0.0
1913,1900-10-24,0.0
1913,1900-10-25,0.0
1913,1900-10-26,0.0
1913,1900-10-27,0.0
1913,1900-10-28,0.0
1913,1900-10-29,3.8
1913,1900-10-30,0.0
1913,1900-10-31,0.0
1913,1900-11-01,0.0
1913,1900-11-02,9.4
1913,1900-11-03,0.0
1913,1900-11-04,0.5
1913,1900-11-05,0.0
1913,1900-11-06,0.0
1913,1900-11-07,0.0
1913,1900-11-08,0.0
1913,1900-11-09,0.0
1913,1900-11-10,0.0
1913,1900-11-11,0.0
1913,1900-11-12,0.0
1913,1900-11-13,0.0
1913,1900-11-14,0.0
1913,1900-11-15,6.9
1913,1900-11-16,0.0
1913,1900-11-17,0.0
1913,1900-11-18,0.0
1913,1900-11-19,0.0
1913,1900-11-20,0.0
1913,1900-11-21,0.0
1913,1900-11-22,1.3
1913,1900-11-23,0.0
1913,1900-11-24,0.0
1913,1900-11-25,0.0
1913,1900-11-26,0.0
1913,1900-11-27,0.0
1913,1900-11-28,0.0
1913,1900-11-29,0.0
1913,1900-11-30,0.0
1913,1900-12-01,0.0
1913,1900-12-02,0.0
1913,1900-12-03,0.0
1913,1900-12-04,0.0
1913,1900-12-05,0.5
1913,1900-12-06,0.5
1913,1900-12-07,8.4
1913,1900-12-08,0.0
1913,1900-12-09,0.0
1913,1900-12-10,0.0
1913,1900-12-11,19.3
1913,1900-12-12,0.0
1913,1900-12-13,15.5
1913,1900-12-14,0.0
1913,1900-12-15,0.0
1913,1900-12-16,1.0
1913,1900-12-17,0.0
1913,1900-12-18,0.0
1913,1900-12-19,6.6
1913,1900-12-20,17.0
1913,1900-12-21,3.0
1913,1900-12-22,0.3
1913,1900-12-23,2.3
1913,1900-12-24,0.0
1913,1900-12-25,0.0
1913,1900-12-26,0.0
1913,1900-12-27,3.0
1913,1900-12-28,0.0
1913,1900-12-29,4.6
1913,1900-12-30,0.0
1913,1900-12-31,0.0
1914,1901-01-01,0.0
1914,1901-01-02,0.0
1914,1901-01-03,0.0
1914,1901-01-04,0.0
1914,1901-01-05,0.0
1914,1901-01-06,0.0
1914,1901-01-07,0.0
1914,1901-01-08,0.0
1914,1901-01-09,0.0
1914,1901-01-10,0.0
1914,1901-01-11,0.0
1914,1901-01-12,5.1
1914,1901-01-13,0.0
1914,1901-01-14,18.0
1914,1901-01-15,7.6
1914,1901-01-16,0.0
1914,1901-01-17,0.0
1914,1901-01-18,2.5
1914,1901-01-19,0.0
1914,1901-01-20,0.0
1914,1901-01-21,7.1
1914,1901-01-22,2.5
1914,1901-01-23,2.8
1914,1901-01-24,76.2
1914,1901-01-25,8.9
1914,1901-01-26,0.0
1914,1901-01-27,0.0
1914,1901-01-28,0.0
1914,1901-01-29,0.0
1914,1901-01-30,0.0
1914,1901-01-31,0.0
1914,1901-02-01,0.0
1914,1901-02-02,0.0
1914,1901-02-03,0.0
1914,1901-02-04,24.6
1914,1901-02-05,0.8
1914,1901-02-06,1.3
1914,1901-02-07,0.3
1914,1901-02-08,0.0
1914,1901-02-09,0.0
1914,1901-02-10,0.0
1914,1901-02-11,0.0
1914,1901-02-12,0.0
1914,1901-02-13,0.8
1914,1901-02-14,0.0
1914,1901-02-15,0.0
1914,1901-02-16,0.8
1914,1901-02-17,1.0
1914,1901-02-18,0.0
1914,1901-02-19,0.3
1914,1901-02-20,30.5
1914,1901-02-21,12.7
1914,1901-02-22,49.3
1914,1901-02-23,8.4
1914,1901-02-24,2.5
1914,1901-02-25,8.9
1914,1901-02-26,14.0
1914,1901-02-27,15.2
1914,1901-02-28,2.5
1914,1901-03-01,0.0
1914,1901-03-02,0.0
1914,1901-03-03,0.0
1914,1901-03-04,3.8
1914,1901-03-05,1.3
1914,1901-03-06,0.0
1914,1901-03-07,6.4
1914,1901-03-08,20.3
1914,1901-03-09,41.9
1914,1901-03-10,11.9
1914,1901-03-11,6.4
1914,1901-03-12,2.0
1914,1901-03-13,0.5
1914,1901-03-14,1.0
1914,1901-03-15,0.0
1914,1901-03-16,0.0
1914,1901-03-17,0.0
1914,1901-03-18,0.0
1914,1901-03-19,2.5
1914,1901-03-20,0.0
1914,1901-03-21,0.0
1914,1901-03-22,0.0
1914,1901-03-23,9.7
1914,1901-03-24,1.3
1914,1901-03-25,44.5
1914,1901-03-26,5.3
1914,1901-03-27,3.0
1914,1901-03-28,0.8
1914,1901-03-29,44.5
1914,1901-03-30,27.9
1914,1901-03-31,0.0
1914,1901-04-01,0.0
1914,1901-04-02,0.0
1914,1901-04-03,0.0
1914,1901-04-04,0.0
1914,1901-04-05,0.0
1914,1901-04-06,0.0
1914,1901-04-07,0.0
1914,1901-04-08,0.0
1914,1901-04-09,2.5
1914,1901-04-10,0.0
1914,1901-04-11,0.0
1914,1901-04-12,0.0
1914,1901-04-13,0.0
1914,1901-04-14,33.3
1914,1901-04-15,0.0
1914,1901-04-16,0.0
1914,1901-04-17,0.0
1914,1901-04-18,5.6
1914,1901-04-19,0.0
1914,1901-04-20,0.0
1914,1901-04-21,2.0
1914,1901-04-22,1.0
1914,1901-04-23,2.0
1914,1901-04-24,0.0
1914,1901-04-25,0.0
1914,1901-04-26,1.0
1914,1901-04-27,8.4
1914,1901-04-28,0.0
1914,1901-04-29,0.0
1914,1901-04-30,0.0
1914,1901-05-01,0.0
1914,1901-05-02,0.0
1914,1901-05-03,0.0
1914,1901-05-04,0.0
1914,1901-05-05,0.0
1914,1901-05-06,0.0
1914,1901-05-07,0.0
1914,1901-05-08,0.0
1914,1901-05-09,6.6
1914,1901-05-10,29.7
1914,1901-05-11,8.6
1914,1901-05-12,2.0
1914,1901-05-13,0.0
1914,1901-05-14,0.8
1914,1901-05-15,0.0
1914,1901-05-16,0.0
1914,1901-05-17,0.0
1914,1901-05-18,0.0
1914,1901-05-19,0.0
1914,1901-05-20,0.0
1914,1901-05-21,0.0
1914,1901-05-22,1.5
1914,1901-05-23,0.5
1914,1901-05-24,0.0
1914,1901-05-25,0.0
1914,1901-05-26,0.0
1914,1901-05-27,0.0
1914,1901-05-28,0.0
1914,1901-05-29,0.0
1914,1901-05-30,0.0
1914,1901-05-31,0.0
1914,1901-06-01,0.0
1914,1901-06-02,0.0
1914,1901-06-03,0.0
1914,1901-06-04,0.0
1914,1901-06-05,4.6
1914,1901-06-06,3.8
1914,1901-06-07,5.1
1914,1901-06-08,0.0
1914,1901-06-09,0.0
1914,1901-06-10,0.0
1914,1901-06-11,0.0
1914,1901-06-12,2.8
1914,1901-06-13,2.8
1914,1901-06-14,26.7
1914,1901-06-15,0.8
1914,1901-06-16,5.8
1914,1901-06-17,8.1
1914,1901-06-18,0.0
1914,1901-06-19,0.0
1914,1901-06-20,0.0
1914,1901-06-21,0.0
1914,1901-06-22,4.1
1914,1901-06-23,18.3
1914,1901-06-24,9.1
1914,1901-06-25,35.8
1914,1901-06-26,12.7
1914,1901-06-27,1.8
1914,1901-06-28,2.0
1914,1901-06-29,1.0
1914,1901-06-30,1.5
1914,1900-07-01,0.0
1914,1900-07-02,0.8
1914,1900-07-03,0.0
1914,1900-07-04,0.0
1914,1900-07-05,1.3
1914,1900-07-06,0.5
1914,1900-07-07,0.0
1914,1900-07-08,0.0
1914,1900-07-09,0.0
1914,1900-07-10,0.0
1914,1900-07-11,0.0
1914,1900-07-12,0.0
1914,1900-07-13,0.0
1914,1900-07-14,0.0
1914,1900-07-15,0.0
1914,1900-07-16,0.0
1914,1900-07-17,0.0
1914,1900-07-18,0.0
1914,1900-07-19,0.0
1914,1900-07-20,10.4
1914,1900-07-21,0.0
1914,1900-07-22,0.0
1914,1900-07-23,0.0
1914,1900-07-24,0.0
1914,1900-07-25,0.0
1914,1900-07-26,2.0
1914,1900-07-27,13.7
1914,1900-07-28,0.0
1914,1900-07-29,0.5
1914,1900-07-30,0.0
1914,1900-07-31,5.3
1914,1900-08-01,0.5
1914,1900-08-02,3.6
1914,1900-08-03,2.0
1914,1900-08-04,0.0
1914,1900-08-05,0.0
1914,1900-08-06,0.0
1914,1900-08-07,0.0
1914,1900-08-08,7.6
1914,1900-08-09,6.9
1914,1900-08-10,8.6
1914,1900-08-11,0.0
1914,1900-08-12,0.0
1914,1900-08-13,0.0
1914,1900-08-14,0.0
1914,1900-08-15,0.0
1914,1900-08-16,0.0
1914,1900-08-17,0.0
1914,1900-08-18,0.0
1914,1900-08-19,0.0
1914,1900-08-20,0.0
1914,1900-08-21,0.0
1914,1900-08-22,0.0
1914,1900-08-23,0.0
1914,1900-08-24,0.0
1914,1900-08-25,0.0
1914,1900-08-26,0.0
1914,1900-08-27,0.3
1914,1900-08-28,1.3
1914,1900-08-29,0.0
1914,1900-08-30,0.0
1914,1900-08-31,2.5
1914,1900-09-01,0.0
1914,1900-09-02,0.0
1914,1900-09-03,0.0
1914,1900-09-04,0.0
1914,1900-09-05,4.6
1914,1900-09-06,1.0
1914,1900-09-07,0.0
1914,1900-09-08,2.5
1914,1900-09-09,5.1
1914,1900-09-10,0.0
1914,1900-09-11,0.0
1914,1900-09-12,0.5
1914,1900-09-13,0.3
1914,1900-09-14,5.6
1914,1900-09-15,1.0
1914,1900-09-16,0.0
1914,1900-09-17,0.8
1914,1900-09-18,0.0
1914,1900-09-19,12.4
1914,1900-09-20,0.0
1914,1900-09-21,0.0
1914,1900-09-22,0.0
1914,1900-09-23,0.0
1914,1900-09-24,0.0
1914,1900-09-25,0.0
1914,1900-09-26,0.0
1914,1900-09-27,0.0
1914,1900-09-28,0.0
1914,1900-09-29,3.3
1914,1900-09-30,0.0
1914,1900-10-01,0.0
1914,1900-10-02,0.5
1914,1900-10-03,1.0
1914,1900-10-04,7.9
1914,1900-10-05,17.0
1914,1900-10-06,3.8
1914,1900-10-07,0.0
1914,1900-10-08,5.6
1914,1900-10-09,22.9
1914,1900-10-10,16.0
1914,1900-10-11,9.7
1914,1900-10-12,3.6
1914,1900-10-13,1.0
1914,1900-10-14,0.5
1914,1900-10-15,0.0
1914,1900-10-16,9.1
1914,1900-10-17,2.0
1914,1900-10-18,24.9
1914,1900-10-19,0.0
1914,1900-10-20,0.0
1914,1900-10-21,0.0
1914,1900-10-22,0.0
1914,1900-10-23,0.0
1914,1900-10-24,0.0
1914,1900-10-25,0.0
1914,1900-10-26,0.0
1914,1900-10-27,0.0
1914,1900-10-28,0.0
1914,1900-10-29,0.0
1914,1900-10-30,0.0
1914,1900-10-31,0.0
1914,1900-11-01,0.0
1914,1900-11-02,0.0
1914,1900-11-03,0.0
1914,1900-11-04,0.0
1914,1900-11-05,0.0
1914,1900-11-06,0.0
1914,1900-11-07,0.0
1914,1900-11-08,0.0
1914,1900-11-09,0.0
1914,1900-11-10,0.0
1914,1900-11-11,0.0
1914,1900-11-12,1.0
1914,1900-11-13,6.4
1914,1900-11-14,5.8
1914,1900-11-15,0.0
1914,1900-11-16,0.0
1914,1900-11-17,0.0
1914,1900-11-18,0.0
1914,1900-11-19,12.2
1914,1900-11-20,3.8
1914,1900-11-21,0.0
1914,1900-11-22,0.0
1914,1900-11-23,1.3
1914,1900-11-24,0.0
1914,1900-11-25,0.0
1914,1900-11-26,0.0
1914,1900-11-27,1.3
1914,1900-11-28,0.0
1914,1900-11-29,10.2
1914,1900-11-30,0.8
1914,1900-12-01,1.0
1914,1900-12-02,4.1
1914,1900-12-03,0.0
1914,1900-12-04,0.0
1914,1900-12-05,0.0
1914,1900-12-06,0.0
1914,1900-12-07,3.8
1914,1900-12-08,27.9
1914,1900-12-09,0.0
1914,1900-12-10,0.0
1914,1900-12-11,0.0
1914,1900-12-12,0.0
1914,1900-12-13,0.0
1914,1900-12-14,0.0
1914,1900-12-15,0.0
1914,1900-12-16,0.0
1914,1900-12-17,0.3
1914,1900-12-18,0.0
1914,1900-12-19,0.0
1914,1900-12-20,0.0
1914,1900-12-21,0.0
1914,1900-12-22,0.0
1914,1900-12-23,20.3
1914,1900-12-24,0.3
1914,1900-12-25,0.0
1914,1900-12-26,0.0
1914,1900-12-27,0.0
1914,1900-12-28,1.0
1914,1900-12-29,2.8
1914,1900-12-30,0.8
1914,1900-12-31,3.0
1915,1901-01-01,52.6
1915,1901-01-02,4.1
1915,1901-01-03,0.0
1915,1901-01-04,0.0
1915,1901-01-05,19.1
1915,1901-01-06,0.0
1915,1901-01-07,17.8
1915,1901-01-08,0.0
1915,1901-01-09,0.0
1915,1901-01-10,0.0
1915,1901-01-11,0.0
1915,1901-01-12,0.0
1915,1901-01-13,0.0
1915,1901-01-14,3.0
1915,1901-01-15,1.0
1915,1901-01-16,2.5
1915,1901-01-17,14.2
1915,1901-01-18,10.2
1915,1901-01-19,1.3
1915,1901-01-20,0.0
1915,1901-01-21,0.0
1915,1901-01-22,0.0
1915,1901-01-23,0.5
1915,1901-01-24,0.0
1915,1901-01-25,0.0
1915,1901-01-26,0.0
1915,1901-01-27,0.0
1915,1901-01-28,0.0
1915,1901-01-29,0.0
1915,1901-01-30,0.0
1915,1901-01-31,0.0
1915,1901-02-01,0.0
1915,1901-02-02,0.0
1915,1901-02-03,0.0
1915,1901-02-04,0.0
1915,1901-02-05,0.0
1915,1901-02-06,0.0
1915,1901-02-07,0.0
1915,1901-02-08,0.0
1915,1901-02-09,40.4
1915,1901-02-10,135.1
1915,1901-02-11,0.0
1915,1901-02-12,0.0
1915,1901-02-13,0.0
1915,1901-02-14,0.0
1915,1901-02-15,0.0
1915,1901-02-16,1.3
1915,1901-02-17,6.4
1915,1901-02-18,1.5
1915,1901-02-19,1.0
1915,1901-02-20,5.1
1915,1901-02-21,2.0
1915,1901-02-22,0.0
1915,1901-02-23,2.8
1915,1901-02-24,2.5
1915,1901-02-25,0.0
1915,1901-02-26,10.2
1915,1901-02-27,0.0
1915,1901-02-28,0.0
1915,1901-03-01,0.0
1915,1901-03-02,0.0
1915,1901-03-03,0.0
1915,1901-03-04,0.0
1915,1901-03-05,0.0
1915,1901-03-06,0.0
1915,1901-03-07,0.0
1915,1901-03-08,0.0
1915,1901-03-09,0.0
1915,1901-03-10,0.0
1915,1901-03-11,0.0
1915,1901-03-12,0.0
1915,1901-03-13,0.0
1915,1901-03-14,0.0
1915,1901-03-15,0.0
1915,1901-03-16,0.0
1915,1901-03-17,0.0
1915,1901-03-18,0.0
1915,1901-03-19,0.0
1915,1901-03-20,0.0
1915,1901-03-21,0.0
1915,1901-03-22,0.5
1915,1901-03-23,0.0
1915,1901-03-24,0.0
1915,1901-03-25,0.0
1915,1901-03-26,0.0
1915,1901-03-27,0.0
1915,1901-03-28,0.0
1915,1901-03-29,0.0
1915,1901-03-30,0.0
1915,1901-03-31,0.0
1915,1901-04-01,0.0
1915,1901-04-02,0.0
1915,1901-04-03,0.0
1915,1901-04-04,0.0
1915,1901-04-05,0.0
1915,1901-04-06,0.0
1915,1901-04-07,0.0
1915,1901-04-08,3.8
1915,1901-04-09,0.5
1915,1901-04-10,0.0
1915,1901-04-11,0.0
1915,1901-04-12,0.8
1915,1901-04-13,0.0
1915,1901-04-14,0.0
1915,1901-04-15,5.1
1915,1901-04-16,2.5
